
Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:46:01 2022
Timers Off: Tue Feb 22 17:54:53 2022

Wall Time:      532.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 Qia Read                    :      0.617u      0.250s      0.287w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:54:57 2022
Timers Off: Tue Feb 22 18:03:27 2022

Wall Time:      510.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     18.817u      0.167s     11.986w     10 calls
DFH: initialize()                   :    682.417u     46.033s    139.448w     10 calls
DFH: AO Construction                :    285.233u     10.300s     51.269w     10 calls
DFH: AO-Met. Contraction            :    351.183u     17.683s     63.204w     10 calls
DFH: Total Workflow                 :    517.333u     22.050s     92.871w      3 calls
HF: Form core H                     :      0.500u      0.133s      3.221w     10 calls
HF: Form S/X                        :      7.983u      0.483s      1.612w     10 calls
HF: Guess                           :     57.683u      3.550s     10.976w     10 calls
SAD Guess                           :     56.317u      3.467s     10.723w     10 calls
HF: Form G                          :    450.633u    177.300s    173.125w    113 calls
JK: D                               :      0.600u      0.067s      0.134w    113 calls
JK: USO2AO                          :      0.417u      0.017s      0.067w    113 calls
JK: JK                              :    447.983u    177.033s    172.522w    113 calls
DFH: compute_JK()                   :    447.967u    177.033s    172.520w    113 calls
DFH: Grabbing AOs                   :     27.533u    135.250s     86.944w    113 calls
DFH: compute_J                      :     71.600u      3.550s     13.415w    113 calls
DFH: compute_K                      :    328.550u     11.233s     56.216w    113 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    113 calls
HF: Form F                          :      0.917u      0.150s      0.242w    113 calls
HF: Form D                          :      1.050u      0.067s      0.245w    113 calls
HF: DIIS                            :     27.050u      3.133s      8.600w    103 calls
DIISManager::add_entry              :      4.267u      0.667s      3.846w    103 calls
DIISManager::extrapolate            :      6.950u      1.767s      1.572w    103 calls
bMatrix setup                       :      4.033u      1.133s      0.990w    103 calls
bMatrix pseudoinverse               :      0.117u      0.017s      0.015w    103 calls
New vector                          :      2.783u      0.617s      0.564w    103 calls
HF: Form C                          :     74.600u      3.850s     14.630w    103 calls
DFMP2 Singles                       :      1.733u      0.050s      0.348w     10 calls
DFMP2 Aia                           :    324.750u     21.617s     78.741w     10 calls
DFMP2 (A|mn)                        :    254.333u      2.283s     42.280w     10 calls
DFMP2 (A|mn)C_mi                    :     15.283u      0.933s      2.608w     10 calls
DFMP2 (A|mi)C_na                    :      9.167u      0.283s      1.473w     10 calls
DFMP2 Aia Write                     :      0.983u      0.517s      0.261w     10 calls
DFMP2 Qia                           :     54.467u      3.317s     10.630w     10 calls
DFMP2 Metric                        :     37.533u      1.633s      7.551w     10 calls
DFMP2 Aia Read                      :      0.767u      0.250s      0.179w     10 calls
DFMP2 (Q|A)(A|ia)                   :     12.050u      0.217s      2.001w     10 calls
DFMP2 Qia Write                     :      1.200u      0.550s      0.273w     10 calls
DFMP2 Energy                        :     35.783u      1.200s      6.236w     10 calls
DFMP2 Qia Read                      :      0.600u      0.217s      0.222w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     18.817u      0.167s     11.986w     10 calls
DFH: initialize()                   :    682.417u     46.033s    139.448w     10 calls
| DFH: AO Construction              :     54.950u      1.917s      9.550w      7 calls
| DFH: AO-Met. Contraction          :     64.133u      4.017s     12.052w      7 calls
| DFH: Total Workflow               :    517.333u     22.050s     92.871w      3 calls
| | DFH: AO Construction            :    230.283u      8.383s     41.719w      3 calls
| | DFH: AO-Met. Contraction        :    287.050u     13.667s     51.152w      3 calls
HF: Form core H                     :      0.500u      0.133s      3.221w     10 calls
HF: Form S/X                        :      7.983u      0.483s      1.612w     10 calls
HF: Guess                           :     57.683u      3.550s     10.976w     10 calls
| SAD Guess                         :     56.317u      3.467s     10.723w     10 calls
HF: Form G                          :    450.633u    177.300s    173.125w    113 calls
| JK: D                             :      0.600u      0.067s      0.134w    113 calls
| JK: USO2AO                        :      0.417u      0.017s      0.067w    113 calls
| JK: JK                            :    447.983u    177.033s    172.522w    113 calls
| | DFH: compute_JK()               :    447.967u    177.033s    172.520w    113 calls
| | | DFH: Grabbing AOs             :     27.533u    135.250s     86.944w    113 calls
| | | DFH: compute_J                :     71.600u      3.550s     13.415w    113 calls
| | | DFH: compute_K                :    328.550u     11.233s     56.216w    113 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    113 calls
HF: Form F                          :      0.917u      0.150s      0.242w    113 calls
HF: Form D                          :      1.050u      0.067s      0.245w    113 calls
HF: DIIS                            :     27.050u      3.133s      8.600w    103 calls
| DIISManager::add_entry            :      4.267u      0.667s      3.846w    103 calls
| DIISManager::extrapolate          :      6.950u      1.767s      1.572w    103 calls
| | bMatrix setup                   :      4.033u      1.133s      0.990w    103 calls
| | bMatrix pseudoinverse           :      0.117u      0.017s      0.015w    103 calls
| | New vector                      :      2.783u      0.617s      0.564w    103 calls
HF: Form C                          :     74.600u      3.850s     14.630w    103 calls
DFMP2 Singles                       :      1.733u      0.050s      0.348w     10 calls
DFMP2 Aia                           :    324.750u     21.617s     78.741w     10 calls
| DFMP2 (A|mn)                      :    254.333u      2.283s     42.280w     10 calls
| DFMP2 (A|mn)C_mi                  :     15.283u      0.933s      2.608w     10 calls
| DFMP2 (A|mi)C_na                  :      9.167u      0.283s      1.473w     10 calls
| DFMP2 Aia Write                   :      0.983u      0.517s      0.261w     10 calls
DFMP2 Qia                           :     54.467u      3.317s     10.630w     10 calls
| DFMP2 Metric                      :     37.533u      1.633s      7.551w     10 calls
| DFMP2 Aia Read                    :      0.767u      0.250s      0.179w     10 calls
| DFMP2 (Q|A)(A|ia)                 :     12.050u      0.217s      2.001w     10 calls
| DFMP2 Qia Write                   :      1.200u      0.550s      0.273w     10 calls
DFMP2 Energy                        :     35.783u      1.200s      6.236w     10 calls
| DFMP2 Qia Read                    :      0.600u      0.217s      0.222w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 18:03:25 2022
Timers Off: Tue Feb 22 18:12:16 2022

Wall Time:      531.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     20.150u      0.133s     14.735w     10 calls
DFH: initialize()                   :    660.750u     39.683s    141.908w     10 calls
DFH: AO Construction                :    279.200u      9.550s     53.296w     10 calls
DFH: AO-Met. Contraction            :    329.700u     13.383s     62.620w     10 calls
DFH: Total Workflow                 :    495.383u     17.650s     93.156w      3 calls
HF: Form core H                     :      0.383u      0.100s      0.376w     10 calls
HF: Form S/X                        :      8.600u      0.583s      2.205w     10 calls
HF: Guess                           :     57.950u      3.900s     14.466w     10 calls
SAD Guess                           :     56.733u      3.817s     14.222w     10 calls
HF: Form G                          :    451.167u    159.767s    171.002w    113 calls
JK: D                               :      0.817u      0.067s      0.203w    113 calls
JK: USO2AO                          :      0.317u      0.000s      0.065w    113 calls
JK: JK                              :    447.983u    159.533s    170.240w    113 calls
DFH: compute_JK()                   :    447.967u    159.533s    170.238w    113 calls
DFH: Grabbing AOs                   :     25.950u    125.517s     81.704w    113 calls
DFH: compute_J                      :     77.967u      0.833s     14.578w    113 calls
DFH: compute_K                      :    324.600u      9.700s     59.877w    113 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    113 calls
HF: Form F                          :      1.000u      0.083s      0.254w    113 calls
HF: Form D                          :      1.200u      0.083s      0.284w    113 calls
HF: DIIS                            :     25.100u      3.000s      5.961w    103 calls
DIISManager::add_entry              :      3.667u      0.667s      1.258w    103 calls
DIISManager::extrapolate            :      6.250u      1.767s      1.516w    103 calls
bMatrix setup                       :      3.750u      1.217s      0.938w    103 calls
bMatrix pseudoinverse               :      0.050u      0.017s      0.014w    103 calls
New vector                          :      2.433u      0.533s      0.561w    103 calls
HF: Form C                          :     72.133u      3.650s     14.568w    103 calls
DFMP2 Singles                       :      1.233u      0.083s      0.312w     10 calls
DFMP2 Aia                           :    314.683u     21.300s     85.549w     10 calls
DFMP2 (A|mn)                        :    244.117u      0.100s     43.969w     10 calls
DFMP2 (A|mn)C_mi                    :     16.050u      1.933s      3.612w     10 calls
DFMP2 (A|mi)C_na                    :      9.550u      0.167s      1.763w     10 calls
DFMP2 Aia Write                     :      1.017u      0.533s      0.305w     10 calls
DFMP2 Qia                           :     67.033u      4.400s     15.750w     10 calls
DFMP2 Metric                        :     49.200u      2.550s     10.881w     10 calls
DFMP2 Aia Read                      :      0.500u      0.350s      0.224w     10 calls
DFMP2 (Q|A)(A|ia)                   :     12.050u      0.183s      2.665w     10 calls
DFMP2 Qia Write                     :      0.883u      0.583s      0.308w     10 calls
DFMP2 Energy                        :     38.400u      1.450s      9.307w     10 calls
DFMP2 Qia Read                      :      0.767u      0.350s      0.435w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     20.150u      0.133s     14.735w     10 calls
DFH: initialize()                   :    660.750u     39.683s    141.908w     10 calls
| DFH: AO Construction              :     55.267u      1.817s     11.140w      7 calls
| DFH: AO-Met. Contraction          :     58.250u      3.467s     11.620w      7 calls
| DFH: Total Workflow               :    495.383u     17.650s     93.156w      3 calls
| | DFH: AO Construction            :    223.933u      7.733s     42.156w      3 calls
| | DFH: AO-Met. Contraction        :    271.450u      9.917s     51.000w      3 calls
HF: Form core H                     :      0.383u      0.100s      0.376w     10 calls
HF: Form S/X                        :      8.600u      0.583s      2.205w     10 calls
HF: Guess                           :     57.950u      3.900s     14.466w     10 calls
| SAD Guess                         :     56.733u      3.817s     14.222w     10 calls
HF: Form G                          :    451.167u    159.767s    171.002w    113 calls
| JK: D                             :      0.817u      0.067s      0.203w    113 calls
| JK: USO2AO                        :      0.317u      0.000s      0.065w    113 calls
| JK: JK                            :    447.983u    159.533s    170.240w    113 calls
| | DFH: compute_JK()               :    447.967u    159.533s    170.238w    113 calls
| | | DFH: Grabbing AOs             :     25.950u    125.517s     81.704w    113 calls
| | | DFH: compute_J                :     77.967u      0.833s     14.578w    113 calls
| | | DFH: compute_K                :    324.600u      9.700s     59.877w    113 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w    113 calls
HF: Form F                          :      1.000u      0.083s      0.254w    113 calls
HF: Form D                          :      1.200u      0.083s      0.284w    113 calls
HF: DIIS                            :     25.100u      3.000s      5.961w    103 calls
| DIISManager::add_entry            :      3.667u      0.667s      1.258w    103 calls
