
Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:44:04 2022
Timers Off: Tue Feb 22 17:47:10 2022

Wall Time:      185.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Guess                           :     61.617u      4.400s     15.187w     10 calls
SAD Guess                           :     60.550u      4.250s     14.916w     10 calls
HF: Form G                          :    146.400u      5.533s     27.046w    108 calls
JK: D                               :      0.567u      0.050s      0.139w    108 calls
JK: USO2AO                          :      0.217u      0.017s      0.049w    108 calls
JK: JK                              :    143.617u      5.217s     26.377w    108 calls
DFH: compute_JK()                   :    143.617u      5.217s     26.375w    108 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.001w    108 calls
DFH: compute_J                      :     31.000u      1.967s      5.706w    108 calls
DFH: compute_K                      :    110.900u      2.750s     20.260w    108 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    108 calls
HF: Form F                          :      0.683u      0.083s      0.163w    108 calls
HF: Form D                          :      0.850u      0.100s      0.209w    108 calls
HF: DIIS                            :     15.050u      1.883s      3.155w     98 calls
DIISManager::add_entry              :      1.567u      0.383s      0.373w     98 calls
DIISManager::extrapolate            :      3.967u      1.067s      0.915w     98 calls
bMatrix setup                       :      2.633u      0.683s      0.617w     98 calls
bMatrix pseudoinverse               :      0.033u      0.033s      0.014w     98 calls
New vector                          :      1.250u      0.350s      0.281w     98 calls
HF: Form C                          :     47.617u      2.583s      9.601w     98 calls
DFMP2 Singles                       :      1.017u      0.050s      0.226w     10 calls
DFMP2 Aia                           :    160.550u     13.050s     43.222w     10 calls
DFMP2 (A|mn)                        :    122.783u      1.533s     22.657w     10 calls
DFMP2 (A|mn)C_mi                    :      7.383u      0.650s      1.481w     10 calls
DFMP2 (A|mi)C_na                    :      5.100u      0.150s      0.888w     10 calls
DFMP2 Aia Write                     :      0.517u      0.233s      0.145w     10 calls
DFMP2 Qia                           :     35.033u      2.267s      8.042w     10 calls
DFMP2 Metric                        :     27.867u      1.467s      6.444w     10 calls
DFMP2 Aia Read                      :      0.267u      0.133s      0.089w     10 calls
DFMP2 (Q|A)(A|ia)                   :      5.033u      0.217s      0.993w     10 calls
DFMP2 Qia Write                     :      0.550u      0.250s      0.169w     10 calls
DFMP2 Energy                        :     10.183u      0.467s      2.272w     10 calls
DFMP2 Qia Read                      :      0.300u      0.150s      0.108w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      6.500u      0.133s      4.293w     10 calls
DFH: initialize()                   :    232.067u     14.583s     51.015w     10 calls
| DFH: AO Construction              :     89.050u      3.667s     17.937w     10 calls
| DFH: AO-Met. Contraction          :    116.867u      8.400s     25.475w     10 calls
HF: Form core H                     :      0.983u      0.117s      0.542w     10 calls
HF: Form S/X                        :      6.083u      0.467s      1.584w     10 calls
HF: Guess                           :     61.617u      4.400s     15.187w     10 calls
| SAD Guess                         :     60.550u      4.250s     14.916w     10 calls
HF: Form G                          :    146.400u      5.533s     27.046w    108 calls
