#CFlux-bond j parameters. Unit: e/A
cflux-b      0.40213          O-      C-Oxa1-
cflux-b      0.00000      C-Oxa1      C-Oxa1-
cflux-b      0.32983          O-       C-Oxa-
cflux-b      0.00000      C-Oxa-       C-Oxa-
cflux-b      0.00099      C-Bket        CO=O-
cflux-b      0.13684         O=C        C-PRV
cflux-b      0.18379         C3*        C-PRV
cflux-b      0.00000       C-PRV         CO=O
cflux-b      0.00000       C-PRV        CO=O-
cflux-b      0.00031       N-Imi          CON
cflux-b     -0.07396       N-Imi           HN
cflux-b      0.48735         O=N          NO2
cflux-b      0.00012         NO2          C3*
cflux-b      0.25859         O=N       NO2ben
cflux-b     -0.00059      NO2ben          car
cflux-b      0.00030       O-est       C-carb
cflux-b      0.00016      N-carb          C3*
cflux-b      0.51497          O-       C-carb
cflux-b      0.00093         O-N          NOO
cflux-b      0.37601         O-N          C3*
cflux-b      0.58626         O=N          NOO
cflux-b     -0.37793        N1Ni         N1No
cflux-b     -0.00063        N1Ni          car
cflux-b      0.00000        N1No         N1No
cflux-b     -0.01732        N1No          car
cflux-b     -0.00008         S=O          O=S
cflux-b      0.00002         S=O          C3*
cflux-b     -0.24548         SO3          O-S
cflux-b     -0.26937         SO3          O=S
cflux-b     -0.00052         SO3          C3*
cflux-b      0.02531         O-S           HO
cflux-b     -0.40979        SO3-         O-S-
cflux-b      0.00002        SO3-          C3*
cflux-b     -0.27292      SO3ben          O-S
cflux-b     -0.16336      SO3ben          O=S
cflux-b     -0.00062      SO3ben          car
cflux-b     -0.42208     SO3ben-         O-S-
cflux-b     -0.00022     SO3ben-          car
cflux-b     -0.15921         SO3       OS-est
cflux-b      0.00063      OS-est          C3*
cflux-b     -0.00004       S-SCN          C3*
cflux-b      0.00004       S-SCN        C-SCN
cflux-b     -0.01099       N-SCN        C-SCN
cflux-b     -0.00016    S-SCNben          car
cflux-b      0.00010    S-SCNben        C-SCN
cflux-b      0.00000       C2C2C        C2C2C
cflux-b      0.05355       C2C2C          C2C
cflux-b     -0.09514       C2C2C           HC
cflux-b      0.00097         O=C       CHOC2C
cflux-b      0.00000       C2C2C       CHOC2C
cflux-b     -0.00065      CHOC2C           HC
cflux-b      0.53923         O=N          N=C
cflux-b      0.40223         O=N           HO
cflux-b      0.00001         O=C       CHOben
cflux-b     -0.00000         car       CHOben
cflux-b      0.00016      CHOben           HC
cflux-b      0.00066         OCO       COOben
cflux-b      0.33742         O=C       COOben
cflux-b      0.00000         car       COOben
cflux-b      0.26139          O-      COOben-
cflux-b      0.00000         car      COOben-
cflux-b      0.35314         OCO       COOC2C
cflux-b      0.27078         O=C       COOC2C
cflux-b      0.00047       C2C2C       COOC2C
cflux-b      0.33783          O-      COOC2C-
cflux-b     -0.00004       C2C2C      COOC2C-
cflux-b     -0.00011          N3           CA
cflux-b     -0.00041          CA          C3*
cflux-b      0.00047          CA         CO=O
cflux-b     -0.00011          CA           HC
cflux-b     -0.60000      P-pyro          O2P
cflux-b     -0.40061      P-pyro          O=P
cflux-b     -0.00043      NH3ben          car
cflux-b      0.00018      NH3ben           H+
cflux-b      0.12598         OR6        C3O1R
cflux-b      0.02193          OH         C3R6
cflux-b      0.10849          OH        C3O1R
cflux-b      0.00000        C3R6        C3O1R
cflux-b     -0.16483       C3O1R          C3*
cflux-b      0.00064       C3O1R           HC
cflux-b     -0.09712   PO4H2-est       OP-est
cflux-b     -0.00003   PO4H2-est          O-P
cflux-b     -0.00013   PO4H2-est          O=P
cflux-b      0.00073         OR2       C3O1R5
cflux-b      0.00034          OH         C3R5
