
Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 18:05:20 2022
Timers Off: Tue Feb 22 18:16:38 2022

Wall Time:      678.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: AO-Met. Contraction            :    469.783u     17.100s     90.596w     10 calls
DFH: Total Workflow                 :    666.650u     21.250s    126.372w      3 calls
HF: Form core H                     :      0.450u      0.100s      0.430w     10 calls
HF: Form S/X                        :      9.017u      0.633s      2.247w     10 calls
HF: Guess                           :     51.383u      3.267s     10.775w     10 calls
SAD Guess                           :     49.883u      3.117s     10.469w     10 calls
HF: Form G                          :    604.050u    204.333s    219.185w    109 calls
JK: D                               :      0.950u      0.067s      0.177w    109 calls
JK: USO2AO                          :      0.383u      0.067s      0.081w    109 calls
JK: JK                              :    600.300u    203.983s    218.307w    109 calls
DFH: compute_JK()                   :    600.283u    203.983s    218.305w    109 calls
DFH: Grabbing AOs                   :     25.983u    155.383s     97.219w    109 calls
DFH: compute_J                      :     88.533u      1.233s     16.409w    109 calls
DFH: compute_K                      :    466.083u     15.150s     84.908w    109 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    109 calls
HF: Form F                          :      0.783u      0.117s      0.184w    109 calls
HF: Form D                          :      0.983u      0.067s      0.231w    109 calls
HF: DIIS                            :     31.567u      3.650s     14.485w     99 calls
DIISManager::add_entry              :      6.733u      1.033s      9.097w     99 calls
DIISManager::extrapolate            :      7.250u      1.833s      1.734w     99 calls
bMatrix setup                       :      4.217u      1.117s      1.089w     99 calls
bMatrix pseudoinverse               :      0.117u      0.000s      0.013w     99 calls
New vector                          :      2.900u      0.717s      0.630w     99 calls
HF: Form C                          :     82.650u      3.967s     16.302w     99 calls
DFMP2 Singles                       :      1.350u      0.050s      0.276w     10 calls
DFMP2 Aia                           :    434.200u     25.950s    110.766w     10 calls
DFMP2 (A|mn)                        :    344.633u      0.233s     58.699w     10 calls
DFMP2 (A|mn)C_mi                    :     18.867u      0.917s      3.292w     10 calls
DFMP2 (A|mi)C_na                    :     13.317u      0.200s      2.166w     10 calls
DFMP2 Aia Write                     :      1.383u      0.667s      0.342w     10 calls
DFMP2 Qia                           :     73.483u      4.950s     15.172w     10 calls
DFMP2 Metric                        :     50.883u      2.350s     10.551w     10 calls
DFMP2 Aia Read                      :      0.517u      0.417s      0.278w     10 calls
DFMP2 (Q|A)(A|ia)                   :     16.533u      0.200s      2.899w     10 calls
DFMP2 Qia Write                     :      1.333u      0.733s      0.397w     10 calls
DFMP2 Energy                        :     62.400u      1.900s     14.646w     10 calls
DFMP2 Qia Read                      :      0.567u      0.333s      0.364w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     28.300u      0.267s     18.281w     10 calls
DFH: initialize()                   :    898.350u     51.583s    191.704w     10 calls
| DFH: AO Construction              :     79.750u      2.383s     15.453w      7 calls
| DFH: AO-Met. Contraction          :     91.850u      5.767s     20.516w      7 calls
| DFH: Total Workflow               :    666.650u     21.250s    126.372w      3 calls
| | DFH: AO Construction            :    288.717u      9.917s     56.293w      3 calls
| | DFH: AO-Met. Contraction        :    377.933u     11.333s     70.079w      3 calls
HF: Form core H                     :      0.450u      0.100s      0.430w     10 calls
HF: Form S/X                        :      9.017u      0.633s      2.247w     10 calls
HF: Guess                           :     51.383u      3.267s     10.775w     10 calls
| SAD Guess                         :     49.883u      3.117s     10.469w     10 calls
HF: Form G                          :    604.050u    204.333s    219.185w    109 calls
| JK: D                             :      0.950u      0.067s      0.177w    109 calls
| JK: USO2AO                        :      0.383u      0.067s      0.081w    109 calls
| JK: JK                            :    600.300u    203.983s    218.307w    109 calls
| | DFH: compute_JK()               :    600.283u    203.983s    218.305w    109 calls
| | | DFH: Grabbing AOs             :     25.983u    155.383s     97.219w    109 calls
| | | DFH: compute_J                :     88.533u      1.233s     16.409w    109 calls
| | | DFH: compute_K                :    466.083u     15.150s     84.908w    109 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    109 calls
HF: Form F                          :      0.783u      0.117s      0.184w    109 calls
HF: Form D                          :      0.983u      0.067s      0.231w    109 calls
HF: DIIS                            :     31.567u      3.650s     14.485w     99 calls
| DIISManager::add_entry            :      6.733u      1.033s      9.097w     99 calls
