
Host: node74.bme.utexas.edu

Timers On : Tue Jun 14 14:06:26 2022
Timers Off: Tue Jun 14 14:38:02 2022

Wall Time:     1895.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Libint2ERI::Libint2ERI              :     13.633u      0.333s      9.147w    216 calls
DFH: initialize()                   :    429.633u     12.317s    244.569w     24 calls
Libint2ErfERI::Libint2ErfERI        :     17.667u      0.467s     11.702w     96 calls
DFH: AO Construction                :     61.033u      1.000s     32.793w     24 calls
DFH: AO-Met. Contraction            :    143.650u      0.433s     79.017w     48 calls
DFH: wAO Construction               :     70.750u      0.117s     36.935w     24 calls
DFH: wAO Copy                       :      9.300u      0.283s      5.036w     24 calls
HF: Form core H                     :      4.067u      0.083s      3.111w     24 calls
HF: Form S/X                        :      0.767u      0.050s      0.452w     24 calls
HF: Guess                           :     11.083u      0.550s      6.606w     24 calls
SAD Guess                           :     10.950u      0.533s      6.544w     24 calls
HF: Form G                          :   1872.817u     46.517s   1021.191w    384 calls
RV: Form V                          :   1254.400u     11.400s    670.205w    384 calls
Properties                          :    488.606p                         1142196 calls
Functional                          :    424.111p                         1142196 calls
V_xc                                :    497.519p                         1075008 calls
JK: D                               :      0.350u      0.000s      0.330w    384 calls
JK: USO2AO                          :      0.050u      0.000s      0.004w    384 calls
JK: JK                              :    613.333u     34.700s    345.174w    384 calls
DFH: compute_JK()                   :    256.033u     12.017s    138.976w    384 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    384 calls
DFH: compute_J                      :     23.850u      0.683s     12.046w    384 calls
DFH: compute_K                      :    211.150u      0.900s    111.641w    384 calls
DFH: compute_wK()                   :    357.117u     22.667s    206.138w    384 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    384 calls
HF: Form F                          :      1.000u      0.067s      0.944w    384 calls
HF: Form D                          :      0.383u      0.017s      0.275w    384 calls
HF: DIIS                            :     14.517u      1.133s     12.542w    360 calls
HF: Form C                          :     13.300u      0.583s      7.666w    360 calls
Grad: V T Perturb                   :      4.350u      0.033s      2.351w     24 calls
Grad: S                             :      0.767u      0.017s      0.698w     24 calls
Grad: JK                            :    833.000u     17.767s    476.980w     24 calls
JKGrad: Amn                         :     93.317u      3.200s     57.794w     24 calls
JKGrad: Awmn                        :    103.783u      3.583s     63.437w     24 calls
JKGrad: AB                          :     86.400u      2.767s     50.522w     24 calls
JKGrad: UV                          :     22.467u      1.367s     12.898w     24 calls
JKGrad: ABx                         :      7.817u      0.217s      4.387w     24 calls
JKGrad: Amnx                        :    515.017u      6.083s    283.278w     24 calls
Grad: XC                            :    192.817u      0.717s    100.075w     24 calls
V_xc gradient                       :     70.745p                          67188 calls

--------------------------------------------------------------------------------------
V: Grid                             :     93.067u      0.617s     55.032w     24 calls
| build grid                        :     83.383u      0.350s     46.547w     24 calls
| post-process grid                 :      9.667u      0.267s      8.478w     24 calls
DFH: sparsity prep                  :      3.367u      0.033s      3.463w     24 calls
| Libint2ERI::Libint2ERI            :      2.267u      0.033s      2.272w     24 calls
DFH: initialize()                   :    429.633u     12.317s    244.569w     24 calls
| Libint2ERI::Libint2ERI            :      3.650u      0.100s      2.231w     72 calls
| Libint2ErfERI::Libint2ErfERI      :      4.167u      0.100s      2.764w     24 calls
| DFH: AO Construction              :     61.033u      1.000s     32.793w     24 calls
| DFH: AO-Met. Contraction          :    143.650u      0.433s     79.017w     48 calls
| DFH: wAO Construction             :     70.750u      0.117s     36.935w     24 calls
| DFH: wAO Copy                     :      9.300u      0.283s      5.036w     24 calls
HF: Form core H                     :      4.067u      0.083s      3.111w     24 calls
HF: Form S/X                        :      0.767u      0.050s      0.452w     24 calls
HF: Guess                           :     11.083u      0.550s      6.606w     24 calls
| SAD Guess                         :     10.950u      0.533s      6.544w     24 calls
HF: Form G                          :   1872.817u     46.517s   1021.191w    384 calls
| RV: Form V                        :   1254.400u     11.400s    670.205w    384 calls
| | Properties                      :    387.958p                         1075008 calls
| | Functional                      :    399.579p                         1075008 calls
| | V_xc                            :    497.519p                         1075008 calls
| JK: D                             :      0.350u      0.000s      0.330w    384 calls
| JK: USO2AO                        :      0.050u      0.000s      0.004w    384 calls
| JK: JK                            :    613.333u     34.700s    345.174w    384 calls
| | DFH: compute_JK()               :    256.033u     12.017s    138.976w    384 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    384 calls
| | | DFH: compute_J                :     23.850u      0.683s     12.046w    384 calls
| | | DFH: compute_K                :    211.150u      0.900s    111.641w    384 calls
| | DFH: compute_wK()               :    357.117u     22.667s    206.138w    384 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    384 calls
HF: Form F                          :      1.000u      0.067s      0.944w    384 calls
HF: Form D                          :      0.383u      0.017s      0.275w    384 calls
HF: DIIS                            :     14.517u      1.133s     12.542w    360 calls
HF: Form C                          :     13.300u      0.583s      7.666w    360 calls
Grad: V T Perturb                   :      4.350u      0.033s      2.351w     24 calls
Grad: S                             :      0.767u      0.017s      0.698w     24 calls
Grad: JK                            :    833.000u     17.767s    476.980w     24 calls
| JKGrad: Amn                       :     93.317u      3.200s     57.794w     24 calls
| | Libint2ERI::Libint2ERI          :      3.817u      0.067s      2.353w     24 calls
| JKGrad: Awmn                      :    103.783u      3.583s     63.437w     24 calls
| | Libint2ErfERI::Libint2ErfERI    :      9.067u      0.283s      6.001w     48 calls
| JKGrad: AB                        :     86.400u      2.767s     50.522w     24 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.017s      0.029w     48 calls
| JKGrad: UV                        :     22.467u      1.367s     12.898w     24 calls
| JKGrad: ABx                       :      7.817u      0.217s      4.387w     24 calls
| | Libint2ERI::Libint2ERI          :      0.050u      0.000s      0.011w     24 calls
| JKGrad: Amnx                      :    515.017u      6.083s    283.278w     24 calls
| | Libint2ERI::Libint2ERI          :      3.833u      0.117s      2.252w     24 calls
| | Libint2ErfERI::Libint2ErfERI    :      4.433u      0.083s      2.937w     24 calls
Grad: XC                            :    192.817u      0.717s    100.075w     24 calls
| Properties                        :    100.648p                          67188 calls
| Functional                        :     24.532p                          67188 calls
| V_xc gradient                     :     70.745p                          67188 calls

**************************************************************************************

Host: node74.bme.utexas.edu

Timers On : Tue Jun 14 14:06:26 2022
Timers Off: Tue Jun 14 14:41:57 2022

Wall Time:     2130.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     97.183u      0.717s     57.837w     25 calls
build grid                          :     86.333u      0.383s     49.165w     25 calls
post-process grid                   :     10.817u      0.333s      8.654w     25 calls
DFH: sparsity prep                  :      3.583u      0.000s      3.478w     25 calls
Libint2ERI::Libint2ERI              :     13.950u      0.350s      9.114w    225 calls
DFH: initialize()                   :    447.283u     14.433s    261.155w     25 calls
Libint2ErfERI::Libint2ErfERI        :     17.600u      0.467s     11.982w    100 calls
DFH: AO Construction                :     64.350u      1.383s     36.429w     25 calls
DFH: AO-Met. Contraction            :    152.817u      0.417s     82.860w     50 calls
DFH: wAO Construction               :     73.267u      0.067s     38.675w     25 calls
DFH: wAO Copy                       :     10.350u      0.217s      5.863w     25 calls
HF: Form core H                     :      4.700u      0.117s      3.434w     25 calls
HF: Form S/X                        :      0.717u      0.000s      0.345w     25 calls
HF: Guess                           :     12.033u      0.650s      7.146w     25 calls
SAD Guess                           :     11.983u      0.633s      7.071w     25 calls
HF: Form G                          :   1949.300u     57.783s   1070.408w    400 calls
RV: Form V                          :   1295.250u      9.550s    690.270w    400 calls
Properties                          :    516.097p                         1192448 calls
Functional                          :    435.382p                         1192448 calls
V_xc                                :    521.388p                         1122304 calls
JK: D                               :      0.250u      0.000s      0.333w    400 calls
JK: USO2AO                          :      0.067u      0.000s      0.004w    400 calls
JK: JK                              :    648.683u     47.933s    373.925w    400 calls
DFH: compute_JK()                   :    269.017u     16.133s    149.471w    400 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    400 calls
DFH: compute_J                      :     24.883u      0.650s     12.723w    400 calls
DFH: compute_K                      :    219.617u      1.000s    117.393w    400 calls
DFH: compute_wK()                   :    379.517u     31.800s    224.379w    400 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    400 calls
HF: Form F                          :      0.833u      0.050s      0.774w    400 calls
HF: Form D                          :      0.433u      0.017s      0.295w    400 calls
HF: DIIS                            :     14.300u      1.267s     13.562w    375 calls
HF: Form C                          :     12.950u      0.400s      7.316w    375 calls
Grad: V T Perturb                   :      4.383u      0.050s      2.381w     25 calls
Grad: S                             :      0.733u      0.000s      0.567w     25 calls
Grad: JK                            :    862.017u     18.167s    473.645w     25 calls
JKGrad: Amn                         :     95.533u      3.383s     59.106w     25 calls
JKGrad: Awmn                        :    106.450u      3.333s     63.583w     25 calls
JKGrad: AB                          :     87.083u      2.800s     48.822w     25 calls
JKGrad: UV                          :     23.317u      1.400s     13.181w     25 calls
JKGrad: ABx                         :      8.183u      0.200s      4.484w     25 calls
JKGrad: Amnx                        :    537.017u      6.433s    279.253w     25 calls
Grad: XC                            :    210.483u      0.750s    111.521w     25 calls
V_xc gradient                       :     78.656p                          70144 calls

--------------------------------------------------------------------------------------
V: Grid                             :     97.183u      0.717s     57.837w     25 calls
| build grid                        :     86.333u      0.383s     49.165w     25 calls
| post-process grid                 :     10.817u      0.333s      8.654w     25 calls
DFH: sparsity prep                  :      3.583u      0.000s      3.478w     25 calls
| Libint2ERI::Libint2ERI            :      2.333u      0.000s      2.183w     25 calls
DFH: initialize()                   :    447.283u     14.433s    261.155w     25 calls
| Libint2ERI::Libint2ERI            :      3.417u      0.083s      2.108w     75 calls
| Libint2ErfERI::Libint2ErfERI      :      4.117u      0.150s      2.792w     25 calls
