
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:49:07 2020
Timers Off: Mon Sep 21 14:51:10 2020

Wall Time:      122.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFMP2 Aia Read                    :      0.217u      0.100s      0.048w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      7.083u      0.067s      1.077w      2 calls
| DFMP2 Qia Write                   :      0.433u      0.200s      0.096w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.067s      0.042w      1 calls
| DFMP2 Bia Write                   :      0.367u      0.183s      0.080w      1 calls
DFMP2 aiQ                           :      0.600u      0.300s      0.207w      1 calls
DFMP2 Tij                           :     97.200u      4.450s     16.561w      1 calls
| DFMP2 Qia Read                    :      0.067u      0.067s      0.080w      2 calls
| DFMP2 Cia Read                    :      0.000u      0.067s      0.042w      1 calls
| DFMP2 I                           :     36.067u      0.083s      5.420w      1 calls
| DFMP2 T2                          :      4.283u      0.800s      0.765w      1 calls
| DFMP2 G                           :     37.283u      0.433s      5.655w      1 calls
| DFMP2 Pab                         :     17.600u      0.967s      2.787w      1 calls
| DFMP2 Gia Write                   :      0.383u      0.167s      0.083w      1 calls
DFMP2 Tab                           :     45.217u      2.033s      8.222w      1 calls
| DFMP2 Qai Read                    :      0.067u      0.067s      0.085w      2 calls
| DFMP2 I                           :     35.833u      0.033s      5.380w      1 calls
| DFMP2 T2                          :      5.583u      0.350s      0.890w      1 calls
| DFMP2 Pij                         :      2.383u      0.000s      0.357w      1 calls
DFMP2 gamma                         :      4.367u      0.300s      0.756w      1 calls
| DFMP2 Gia Read                    :      0.050u      0.083s      0.045w      1 calls
| DFMP2 Cia Read                    :      0.000u      0.050s      0.037w      1 calls
| DFMP2 g                           :      3.617u      0.017s      0.544w      1 calls
DFMP2 Gia                           :      1.467u      0.517s      0.336w      1 calls
| DFMP2 Gia Read                    :      0.000u      0.067s      0.040w      1 calls
| DFMP2 aiG Write                   :      0.350u      0.133s      0.074w      1 calls
DFMP2 AB^x                          :      1.250u      0.050s      0.196w      1 calls
DFMP2 Amn^x                         :    196.183u      3.167s     31.544w      1 calls
DFMP2 L                             :     88.250u      4.983s     17.805w      1 calls
DFMP2 P                             :      0.033u      0.000s      0.012w      1 calls
DFMP2 W                             :      0.100u      0.017s      0.018w      1 calls
DFMP2 Z                             :    384.350u     46.817s     78.063w      1 calls
| DFH: sparsity prep                :      1.467u      0.083s      0.400w      1 calls
| DFH: initialize()                 :    136.833u      7.533s     23.055w      1 calls
| | DFH: Total Workflow             :    132.067u      4.100s     20.423w      1 calls
| | | DFH: AO Construction          :     50.467u      1.467s      7.789w      1 calls
| | | DFH: AO-Met. Contraction      :     81.600u      2.633s     12.634w      1 calls
| JK: D                             :      0.083u      0.000s      0.015w     13 calls
| JK: USO2AO                        :      0.050u      0.000s      0.011w     13 calls
| JK: JK                            :    242.583u     38.333s     53.132w     13 calls
| | DFH: compute_JK()               :    242.583u     38.333s     53.132w     13 calls
| | | DFH: Grabbing AOs             :     11.983u     29.483s     17.165w     13 calls
| | | DFH: compute_J                :     26.967u      0.033s      4.050w     13 calls
| | | DFH: compute_K                :    197.833u      6.150s     30.604w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls

**************************************************************************************
