
Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:46:40 2021
Timers Off: Wed Jul 28 13:47:02 2021

Wall Time:       22.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Pab                           :      0.083u      0.000s      0.014w      1 calls
DFMP2 Gia Write                     :      0.017u      0.000s      0.004w      1 calls
DFMP2 Tab                           :      0.517u      0.017s      0.083w      1 calls
DFMP2 Qai Read                      :      0.017u      0.017s      0.004w      2 calls
DFMP2 Pij                           :      0.033u      0.000s      0.004w      1 calls
DFMP2 gamma                         :      0.217u      0.033s      0.037w      1 calls
DFMP2 Gia Read                      :      0.017u      0.017s      0.003w      2 calls
DFMP2 g                             :      0.150u      0.000s      0.022w      1 calls
DFMP2 Gia                           :      0.167u      0.033s      0.030w      1 calls
DFMP2 aiG Write                     :      0.017u      0.017s      0.005w      1 calls
DFMP2 AB^x                          :      0.683u      0.033s      0.110w      1 calls
DFMP2 Amn^x                         :      6.917u      0.333s      1.091w      1 calls
DFMP2 L                             :      3.100u      0.483s      0.579w      1 calls
DFMP2 P                             :      0.033u      0.000s      0.009w      1 calls
DFMP2 W                             :      0.017u      0.000s      0.004w      1 calls
DFMP2 Z                             :      6.483u      0.317s      1.024w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.083u      0.000s      0.047w      1 calls
DFH: initialize()                   :      2.667u      0.183s      0.428w      1 calls
| DFH: AO Construction              :      0.583u      0.017s      0.091w      1 calls
| DFH: AO-Met. Contraction          :      0.533u      0.067s      0.089w      1 calls
HF: Form core H                     :      0.117u      0.017s      0.024w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.004w      1 calls
HF: Guess                           :      2.117u      0.100s      0.332w      1 calls
| SAD Guess                         :      2.033u      0.100s      0.318w      1 calls
HF: Form G                          :      2.617u      0.233s      0.428w     13 calls
| JK: D                             :      0.000u      0.000s      0.001w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :      2.583u      0.233s      0.423w     13 calls
| | DFH: compute_JK()               :      2.583u      0.233s      0.423w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :      0.383u      0.217s      0.089w     13 calls
| | | DFH: compute_K                :      2.200u      0.017s      0.333w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.001w     13 calls
HF: Form D                          :      0.000u      0.000s      0.001w     13 calls
HF: DIIS                            :      0.183u      0.050s      0.033w     12 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.008w     12 calls
| DIISManager::extrapolate          :      0.083u      0.033s      0.012w     12 calls
| | bMatrix setup                   :      0.033u      0.017s      0.006w     12 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     12 calls
| | New vector                      :      0.050u      0.017s      0.004w     12 calls
HF: Form C                          :      0.333u      0.000s      0.047w     12 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      2.700u      0.150s      0.428w      1 calls
| DFMP2 (A|mn)                      :      1.400u      0.000s      0.210w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.067u      0.000s      0.009w      1 calls
| DFMP2 (A|mi)C_na                  :      0.033u      0.000s      0.007w      1 calls
| DFMP2 Aia Write                   :      0.033u      0.017s      0.004w      1 calls
DFMP2 iaQ                           :      1.850u      0.150s      0.306w      1 calls
| DFMP2 Metric                      :      1.367u      0.083s      0.217w      1 calls
| DFMP2 Aia Read                    :      0.017u      0.017s      0.004w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.250u      0.000s      0.038w      2 calls
| DFMP2 Qia Write                   :      0.017u      0.000s      0.003w      1 calls
| DFMP2 Qia Read                    :      0.000u      0.000s      0.002w      1 calls
| DFMP2 Bia Write                   :      0.017u      0.000s      0.004w      1 calls
DFMP2 aiQ                           :      0.083u      0.017s      0.017w      1 calls
DFMP2 Tij                           :      0.833u      0.067s      0.135w      1 calls
| DFMP2 Qia Read                    :      0.033u      0.000s      0.003w      2 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.002w      1 calls
| DFMP2 I                           :      0.267u      0.017s      0.040w      1 calls
| DFMP2 T2                          :      0.067u      0.000s      0.009w      1 calls
| DFMP2 G                           :      0.200u      0.000s      0.030w      1 calls
| DFMP2 Pab                         :      0.083u      0.000s      0.014w      1 calls
| DFMP2 Gia Write                   :      0.017u      0.000s      0.004w      1 calls
DFMP2 Tab                           :      0.517u      0.017s      0.083w      1 calls
| DFMP2 Qai Read                    :      0.017u      0.017s      0.004w      2 calls
| DFMP2 I                           :      0.317u      0.000s      0.049w      1 calls
| DFMP2 T2                          :      0.100u      0.000s      0.014w      1 calls
| DFMP2 Pij                         :      0.033u      0.000s      0.004w      1 calls
DFMP2 gamma                         :      0.217u      0.033s      0.037w      1 calls
| DFMP2 Gia Read                    :      0.017u      0.017s      0.002w      1 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.001w      1 calls
| DFMP2 g                           :      0.150u      0.000s      0.022w      1 calls
DFMP2 Gia                           :      0.167u      0.033s      0.030w      1 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.001w      1 calls
| DFMP2 aiG Write                   :      0.017u      0.017s      0.005w      1 calls
DFMP2 AB^x                          :      0.683u      0.033s      0.110w      1 calls
DFMP2 Amn^x                         :      6.917u      0.333s      1.091w      1 calls
DFMP2 L                             :      3.100u      0.483s      0.579w      1 calls
DFMP2 P                             :      0.033u      0.000s      0.009w      1 calls
DFMP2 W                             :      0.017u      0.000s      0.004w      1 calls
DFMP2 Z                             :      6.483u      0.317s      1.024w      1 calls
| DFH: sparsity prep                :      0.300u      0.033s      0.048w      1 calls
| DFH: initialize()                 :      2.883u      0.167s      0.458w      1 calls
| | DFH: AO Construction            :      0.767u      0.050s      0.121w      1 calls
| | DFH: AO-Met. Contraction        :      0.583u      0.067s      0.098w      1 calls
| JK: D                             :      0.000u      0.000s      0.001w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     10 calls
| JK: JK                            :      3.067u      0.100s      0.471w     10 calls
| | DFH: compute_JK()               :      3.067u      0.100s      0.471w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.367u      0.000s      0.057w     10 calls
| | | DFH: compute_K                :      2.683u      0.100s      0.410w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:49:24 2021
Timers Off: Wed Jul 28 13:57:06 2021

Wall Time:      462.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      2.433u      0.117s      1.021w      2 calls
DFH: initialize()                   :     22.483u      1.317s      3.681w      2 calls
DFH: AO Construction                :     10.817u      0.383s      1.702w      2 calls
DFH: AO-Met. Contraction            :      7.783u      0.733s      1.280w      2 calls
HF: Form core H                     :      0.083u      0.000s      0.025w      1 calls
HF: Form S/X                        :      0.133u      0.017s      0.021w      1 calls
HF: Guess                           :      2.950u      0.150s      0.465w      1 calls
SAD Guess                           :      2.850u      0.150s      0.450w      1 calls
HF: Form G                          :     16.000u      1.117s      2.579w     14 calls
JK: D                               :      0.033u      0.000s      0.006w     25 calls
JK: USO2AO                          :      0.050u      0.000s      0.004w     25 calls
JK: JK                              :     33.883u      3.017s      5.545w     25 calls
DFH: compute_JK()                   :     33.883u      3.000s      5.544w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      5.417u      0.617s      0.899w     25 calls
DFH: compute_K                      :     27.750u      2.167s      4.481w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.017u      0.000s      0.004w     14 calls
HF: Form D                          :      0.017u      0.000s      0.004w     14 calls
HF: DIIS                            :      0.667u      0.133s      0.116w     13 calls
DIISManager::add_entry              :      0.117u      0.033s      0.017w     13 calls
DIISManager::extrapolate            :      0.217u      0.067s      0.039w     13 calls
bMatrix setup                       :      0.133u      0.033s      0.019w     13 calls
