
Host: bme-nova.bme.utexas.edu

Timers On : Tue Dec 31 10:24:00 2019
Timers Off: Tue Dec 31 10:25:42 2019

Wall Time:      101.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFMP2 Qia Read                      :      0.033u      0.017s      0.006w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.017s      0.044w      1 calls
DFH: initialize()                   :      4.950u      3.467s      1.262w      1 calls
| DFH: AO Construction              :      1.717u      1.983s      0.556w      1 calls
| DFH: AO-Met. Contraction          :      1.517u      1.400s      0.436w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.006w      1 calls
HF: Guess                           :      3.033u      0.083s      0.466w      1 calls
| SAD Guess                         :      2.950u      0.067s      0.452w      1 calls
HF: Form G                          :      3.433u      0.167s      0.538w     14 calls
| JK: D                             :      0.000u      0.000s      0.001w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     14 calls
| JK: JK                            :      3.417u      0.150s      0.534w     14 calls
| | DFH: compute_JK()               :      3.417u      0.150s      0.534w     14 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     14 calls
| | | DFH: compute_J                :      1.033u      0.000s      0.152w     14 calls
| | | DFH: compute_K                :      2.317u      0.133s      0.376w     14 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.000u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.233u      0.050s      0.037w     13 calls
| DIISManager::add_entry            :      0.017u      0.000s      0.005w     13 calls
| DIISManager::extrapolate          :      0.100u      0.033s      0.016w     13 calls
| | bMatrix setup                   :      0.083u      0.017s      0.009w     13 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     13 calls
| | New vector                      :      0.017u      0.017s      0.006w     13 calls
HF: Form C                          :      0.417u      0.000s      0.064w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      4.533u      0.800s      1.079w      1 calls
| DFMP2 (A|mn)                      :      3.067u      0.000s      0.458w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.150u      0.000s      0.022w      1 calls
| DFMP2 (A|mi)C_na                  :      0.033u      0.000s      0.007w      1 calls
| DFMP2 Aia Write                   :      0.050u      0.017s      0.009w      1 calls
DFMP2 Qia                           :      1.700u      0.050s      0.260w      1 calls
| DFMP2 Metric                      :      1.417u      0.033s      0.213w      1 calls
| DFMP2 Aia Read                    :      0.033u      0.000s      0.005w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.183u      0.000s      0.027w      1 calls
| DFMP2 Qia Write                   :      0.050u      0.017s      0.009w      1 calls
DFMP2 Energy                        :      0.383u      0.017s      0.062w      1 calls
| DFMP2 Qia Read                    :      0.033u      0.017s      0.006w      2 calls

**************************************************************************************

Host: bme-nova.bme.utexas.edu

Timers On : Tue Dec 31 10:26:51 2019
Timers Off: Tue Dec 31 10:29:27 2019

Wall Time:      155.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.083u      0.000s      0.055w      1 calls
DFH: initialize()                   :     13.267u      6.633s      3.141w      1 calls
DFH: AO Construction                :      4.417u      2.183s      0.994w      1 calls
DFH: AO-Met. Contraction            :      5.450u      3.683s      1.410w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.016w      1 calls
HF: Guess                           :      3.333u      0.117s      0.517w      1 calls
SAD Guess                           :      3.233u      0.117s      0.501w      1 calls
HF: Form G                          :     13.950u      8.217s      3.389w     14 calls
JK: D                               :      0.017u      0.000s      0.002w     14 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w     14 calls
JK: JK                              :     13.883u      8.217s      3.379w     14 calls
DFH: compute_JK()                   :     13.867u      8.217s      3.379w     14 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     14 calls
DFH: compute_J                      :      3.150u      0.017s      0.477w     14 calls
DFH: compute_K                      :     10.433u      8.133s      2.841w     14 calls
